Region_id,ZIP,City,Lat,Lng
208,9155,Neuhaus,46.64217,14.88724
208,9104,Pustritz,46.74688,14.7447
208,9113,Ruden,46.65629,14.77005
208,9122,St. Kanzian am Klopeiner See,46.61338,14.57579
208,9143,St. Michael ob Bleiburg,46.57839,14.74488
208,9123,St. Primus,46.57943,14.56372
208,9121,Tainach,46.63343,14.53686
208,9100,Völkermarkt,46.6605,14.63388
209,9462,Bad St. Leonhard im Lavanttal,46.96426,14.7896
209,9421,Eitweg,46.77689,14.89004
209,9472,Ettendorf,46.6718,14.94855
209,9473,Lavamünd,46.64144,14.94196
209,9422,Maria Rojach,46.73571,14.88049
209,9461,Prebl,46.9136,14.79765
209,9451,Preitenegg,46.93881,14.92458
209,9463,Reichenfels,47.00759,14.7403
209,9433,St. Andrä,46.76576,14.82279
209,9423,St. Georgen,46.90153,14.37717
209,9434,St. Georgen im Lavanttal,46.71843,14.91598
209,9413,St. Gertraud,46.86853,14.87629
209,9412,St. Margarethen im Lavanttal,46.85168,14.8089
209,9411,St. Michael,46.83466,14.80004
209,9470,St. Paul im Lavanttal,46.69967,14.8714
209,9431,St. Stefan,46.69125,14.6351
209,9441,Twimberg,46.91611,14.84528
209,9400,Wolfsberg,46.83893,14.84553
305,3365,Allhartsberg,48.02649,14.79009
305,3300,Amstetten,48.12334,14.87145
305,3321,Ardagger,48.17462,14.8333
305,3361,Aschbach Markt,48.07255,14.75452
305,4441,Behamberg,48.03348,14.49665
305,3333,Böhlerwerk,47.98485,14.75042
305,4482,Ennsdorf,47.73957,14.06493
305,4432,Ernsthofen,48.12752,14.48269
305,3355,Ertl,47.97668,14.63156
305,3324,Euratsfeld,48.08281,14.93134
305,3325,Ferschnitz,48.09423,14.98425
305,3350,Haag,48.11082,14.56801
305,4431,Haidershofen,48.07704,14.45908
305,3343,Hollenstein an der Ybbs,47.8034,14.77207
305,3331,Kematen,48.03887,14.75256
305,3362,Mauer-Öhling,48.09432,14.79841
305,3364,Neuhofen an der Ybbs,48.05799,14.85539
305,3323,Neustadtl an der Donau,48.19165,14.9045
305,3312,Oed,48.09638,14.79982
305,3342,Opponitz,47.87808,14.82155
305,3332,Rosenau am Sonntagberg,48.00866,14.74049
305,3353,Seitenstetten,48.03607,14.65374
305,3344,St. Georgen am Reith,47.84051,14.87979
305,3304,St. Georgen am Ybbsfelde,48.129,14.95294
305,4303,St. Pantaleon,48.2062,14.5671
305,3352,St. Peter in der Au,48.04482,14.6229
305,4300,St. Valentin,48.17519,14.53204
305,3314,Strengberg,48.14266,14.65225
305,3363,Ulmerfeld-Hausmening,48.0759,14.8182
305,3322,Viehdorf,48.14992,14.89346
305,3313,Wallsee,48.16661,14.71358
305,3351,Weistrach,48.05518,14.58416
